time,seconds_elapsed,z,y,x
1696508904592731600,128.12173168945313,1.4736804962158203,-2.4913997650146484,0.10080575942993164
1696508904608631300,128.13763134765625,-0.6695094108581543,-2.2724132537841797,-0.19960379600524902
1696508904624470000,128.15346997070313,-2.6129140853881836,-2.263669013977051,-0.3641993999481201
1696508904640308500,128.16930859375,-4.06629753112793,-2.303838014602661,-0.5901150703430176
1696508904656238800,128.18523876953125,-4.9836225509643555,-2.216137409210205,-1.014472246170044
1696508904672046800,128.201046875,-5.449294567108154,-2.1729893684387207,-1.1912953853607178
1696508904687885600,128.21688549804688,-5.150869369506836,-2.109933853149414,-1.2373390197753906
1696508904703717600,128.23271752929688,-4.913311004638672,-1.8365345001220703,-0.9436619281768799
1696508904719586800,128.2485869140625,-4.040322780609131,-1.2694976329803467,-0.19058728218078613
1696508904735486500,128.26448657226564,-2.624053955078125,-0.6763944625854492,0.5944356918334961
1696508904751294500,128.28029443359375,-0.650759220123291,0.05386781692504883,1.0345065593719482
1696508904767194000,128.29619409179688,1.0509767532348633,0.5338106155395508,1.634824275970459
1696508904782972000,128.31197192382814,2.5343456268310547,0.8877341747283936,2.440977096557617
1696508904798780000,128.32777978515625,2.920154571533203,1.3042125701904297,2.1922733783721924
1696508904814710000,128.3437099609375,2.7006940841674805,1.4480063915252686,1.5229008197784424
1696508904830487600,128.35948754882813,2.577199935913086,1.382481575012207,0.5089058876037598
1696508904846326300,128.375326171875,2.568267822265625,1.1547586917877197,-0.013143301010131836
1696508904862134300,128.39113427734375,2.551638603210449,0.7771005630493164,0.3586091995239258
1696508904878034000,128.40703393554688,3.0877628326416016,0.787771463394165,0.9429712295532227
1696508904893842200,128.42284228515626,3.846102714538574,1.6883440017700195,0.7578756809234619
1696508904909619700,128.43861962890625,3.7209625244140625,2.2414519786834717,0.4048445224761963
1696508904925519400,128.45451928710938,3.901552200317383,1.4074599742889404,1.6885523796081543
1696508904941297000,128.470296875,4.009163856506348,-0.41629552841186523,3.574537515640259
1696508904957135600,128.48613549804688,4.298162460327148,-2.7186856269836426,4.4052934646606445
1696508904973035300,128.50203515625,5.166678428649902,-5.019084930419922,5.178065776824951
1696508904988812800,128.51781274414063,4.348398208618164,-5.959690093994141,4.261052131652832
1696508905004651500,128.53365161132814,2.199420928955078,-5.616537094116211,2.2058963775634766
1696508905020459500,128.54945947265625,-0.4932680130004883,-4.5916523933410645,-0.2428140640258789
1696508905036267800,128.56526782226564,-1.8964734077453613,-3.075634479522705,-2.65777325630188
1696508905052167400,128.58116748046876,-2.3332486152648926,-1.869930386543274,-3.6216719150543213
1696508905068097500,128.59709765625,-1.7376627922058105,-1.1868126392364502,-2.896069288253784
1696508905083997200,128.6129970703125,-0.36350536346435547,-1.3194351196289062,-1.2256555557250977
1696508905099805200,128.62880517578125,1.4530868530273438,-1.7464953660964966,0.7560379505157471
1696508905115644000,128.64464379882813,2.155752182006836,-2.01387357711792,1.8128950595855713
1696508905131513000,128.66051318359376,1.5976409912109375,-1.9160346984863281,1.6471073627471924
1696508905147351600,128.6763515625,-0.15044403076171875,-1.6641433238983154,0.4115719795227051
1696508905163251200,128.69225122070313,-2.222257614135742,-1.5254628658294678,-0.7445788383483887
1696508905179090000,128.70808984375,-4.165240287780762,-1.5032155513763428,-1.739139437675476
1696508905194898200,128.7238981933594,-5.427276134490967,-1.6296391487121582,-2.2765917778015137
1696508905210797800,128.7397978515625,-6.183199882507324,-1.83046555519104,-2.506892204284668
1696508905226666800,128.75566674804688,-5.903554916381836,-2.0233237743377686,-2.349259376525879
1696508905242536000,128.77153588867188,-4.561819076538086,-2.1016595363616943,-1.7750658988952637
1696508905258374700,128.7873747558594,-2.7520766258239746,-1.887495756149292,-1.4873933792114258
1696508905274182700,128.8031826171875,-1.6232657432556152,-1.3495044708251953,-1.461656093597412
1696508905290051800,128.8190517578125,-1.0472807884216309,-0.6130025386810303,-1.246506929397583
1696508905305829400,128.83482934570313,-0.6201987266540527,0.053915977478027344,-0.8034656047821045
1696508905321790200,128.85079028320314,0.4576435089111328,0.7505550384521484,0.08487772941589355
1696508905337598200,128.86659814453125,1.5277233123779297,1.4786357879638672,0.46768760681152344
1696508905353437000,128.88243701171876,2.9529266357421875,1.9571352005004883,1.0332245826721191
1696508905369336600,128.8983366699219,4.139920234680176,1.907609462738037,2.2430784702301025
1696508905385144600,128.91414453125,6.387531280517578,1.910780429840088,2.8129568099975586
1696508905400983300,128.9299833984375,7.750775337219238,1.989121437072754,2.134843587875366
1696508905416852500,128.9458525390625,7.226300239562988,2.407773017883301,0.8174111843109131
1696508905432752000,128.96175219726564,4.33150053024292,3.358642101287842,-0.7226552963256836
1696508905448651800,128.97765185546876,1.5117998123168945,4.233741283416748,-2.2114462852478027
1696508905464459800,128.99345971679688,1.500457763671875,3.6440181732177734,-2.148540496826172
1696508905480359400,129.009359375,1.439798355102539,1.3972444534301758,0.7643089294433594
1696508905496137000,129.02513696289063,1.6567301750183105,-2.2158703804016113,5.296667098999023
1696508905512036600,129.04103662109375,3.1329336166381836,-5.129582405090332,8.085150718688965
1696508905527936300,129.05693627929688,2.432931900024414,-6.488280296325684,8.533655166625977
1696508905543775000,129.07277490234375,-0.27074241638183594,-5.851831912994385,6.693245887756348
1696508905559644200,129.08864404296875,-3.761073589324951,-4.307308197021484,3.6006102561950684
1696508905575452200,129.1044521484375,-5.398454666137695,-2.5791969299316406,0.9306628704071045
1696508905591321300,129.1203212890625,-4.6701250076293945,-1.3175151348114014,-1.9523931741714478
1696508905607251500,129.13625146484375,-2.5845885276794434,-0.8677248954772949,-3.099393367767334
1696508905623181800,129.15218188476564,0.7734212875366211,-1.3608012199401855,-2.9910991191864014
1696508905639051000,129.16805102539064,3.9917349815368652,-1.983640432357788,-1.8917564153671265
1696508905654828500,129.18382861328126,4.169958114624023,-2.327784538269043,-0.4200570583343506
1696508905670667000,129.1996669921875,1.3002052307128906,-2.3533849716186523,0.5720112323760986
1696508905686536200,129.2155361328125,-1.1464319229125977,-2.058051347732544,0.492783784866333
1696508905702435800,129.23143579101563,-3.3649511337280273,-1.790806770324707,-0.27329325675964355
1696508905718366000,129.24736596679688,-4.805401802062988,-1.6634564399719238,-0.9350063800811768
1696508905734143700,129.26314379882814,-5.289533615112305,-1.626932144165039,-1.9510914087295532
1696508905749982200,129.27898217773438,-5.207921504974365,-1.6287131309509277,-2.3321890830993652
1696508905765881900,129.2948818359375,-4.512699127197266,-1.7034251689910889,-2.3568904399871826
1696508905781659600,129.31065966796876,-3.80061674118042,-1.902585744857788,-1.80962336063385
1696508905797589800,129.32658984375,-3.4894442558288574,-1.8794255256652832,-0.5407636165618896
1696508905813397800,129.34239770507813,-2.387328624725342,-1.521909236907959,0.5586140155792236
1696508905829175300,129.35817529296875,-0.4497208595275879,-1.1135294437408447,1.7255070209503174
1696508905845075000,129.37407495117188,1.4956855773925781,-0.6540422439575195,2.6594738960266113
1696508905860913700,129.38991357421875,3.190704345703125,-0.10358381271362305,2.8317666053771973
1696508905876782800,129.4057829589844,3.8765296936035156,0.7598106861114502,2.047581195831299
1696508905892652000,129.4216520996094,2.003880500793457,1.6903116703033447,1.0945355892181396
1696508905908460000,129.4374599609375,0.2688922882080078,2.1201364994049072,0.4525611400604248
1696508905924420900,129.4534208984375,0.09470081329345703,1.8716042041778564,0.8994109630584717
1696508905940198400,129.46919848632814,0.5062599182128906,1.2307054996490479,2.1391446590423584
