time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1696508813914000000,37.442999755859375,0,0,1.4119161367416382,3.7300000190734863,1.3421823978424072,293.0694885253906,39.400001525878906,25.5131264,65.0676277
1696508814657851400,38.18685131835937,10,20,1.4193546772003174,3.7300000190734863,1.3406121730804443,292.28033447265625,39.400001525878906,25.5131051,65.0676289
1696508815646396400,39.175396484375,10,20,1.429240107536316,3.7300000190734863,1.3388407230377197,291.5193176269531,39.400001525878906,25.5130774,65.0676311
1696508816645194500,40.17419458007812,10,20,1.4392280578613281,3.7300000190734863,1.338558316230774,291.4288635253906,39.400001525878906,25.5130506,65.0676351
1696508817642093300,41.17109326171875,10,20,1.4491970539093018,3.9630000591278076,1.3467166423797607,291.4369201660156,39.400001525878906,25.5130216,65.0676399
1696508818627448300,42.1564482421875,10,20,1.4590506553649902,3.9539999961853027,1.3537449836730957,291.61138916015625,39.400001525878906,25.5129934,65.0676451
1696508819110000000,42.639000244140625,0,0,1.7394773960113525,4.019999980926514,1.3394709825515747,291.67755126953125,39.400001525878906,25.5129853,65.0676467
1696508819650292000,43.1792919921875,10,20,1.7448803186416626,4.002999782562256,1.3481225967407227,292.0481872558594,39.400001525878906,25.5129692,65.0676507
1696508820668366300,44.197366455078125,10,20,1.7550610303878784,4.019999980926514,1.3547296524047852,292.9435729980469,39.400001525878906,25.5129426,65.0676587
1696508821667581400,45.19658154296875,10,20,1.765053153038025,3.7869999408721924,1.356431007385254,293.76153564453125,39.400001525878906,25.512918,65.0676664
1696508822641676000,46.17067602539063,10,20,1.774794101715088,3.802999973297119,1.3486889600753784,294.7574157714844,39.400001525878906,25.512898,65.0676742
1696508823053000000,46.582,0,0,3.193368911743164,3.8910000324249268,1.3337186574935913,295.1546630859375,39.400001525878906,25.5128941,65.0676766
1696508823645208300,47.174208251953125,10,20,3.1992909908294678,3.8910000324249268,1.3208253383636475,296.16204833984375,39.400001525878906,25.5128863,65.0676822
1696508824627485400,48.1564853515625,10,20,3.209113836288452,3.7880001068115234,0.61075758934021,350.81964111328125,39.400001525878906,25.5128982,65.0676909
1696508825617774800,49.14677490234375,10,20,3.2190165519714355,3.7880001068115234,0.6409192681312561,351.286865234375,39.400001525878906,25.5128954,65.0677016
1696508826609843500,50.13884350585938,10,20,3.2289373874664307,3.7880001068115234,0.6673683524131775,351.87127685546875,39.400001525878906,25.5129021,65.0677121
1696508827640636700,51.16963671875,10,20,3.2392451763153076,3.98799991607666,0.6942879557609558,352.543701171875,39.400001525878906,25.5129114,65.0677232
1696508828636355300,52.16535522460938,10,20,3.2492024898529053,3.9000000953674316,0.721204936504364,353.3978576660156,39.400001525878906,25.5129255,65.0677345
1696508829060000000,52.589,0,0,3.6067187786102295,4.005000114440918,0.726017415523529,353.7128601074219,39.400001525878906,25.512932,65.0677382
1696508829646646500,53.175646484375,10,20,3.6125853061676025,4.005000114440918,0.7456972599029541,354.2835693359375,39.400001525878906,25.5129399,65.0677458
1696508830650122800,54.179122802734376,10,20,3.622620105743408,4.005000114440918,0.7671478986740112,354.9394836425781,39.400001525878906,25.5129485,65.0677567
1696508831650497800,55.179497802734375,10,20,3.6326236724853516,4.005000114440918,0.7806715965270996,355.64398193359375,39.400001525878906,25.5129586,65.0677662
1696508832657380900,56.186380859375,10,20,3.6426925659179688,4.005000114440918,0.7848474979400635,356.6717834472656,39.400001525878906,25.5129748,65.0677743
1696508833659278300,57.1882783203125,10,20,3.6527116298675537,4.005000114440918,0.787455141544342,357.8368835449219,39.400001525878906,25.5129923,65.0677821
1696508834244000000,57.773,0,0,2.5086934566497803,4.046000003814697,0.7794443964958191,358.3785095214844,39.400001525878906,25.5130005,65.0677847
1696508834666201000,58.195201171875,10,20,2.5129153728485107,4.046000003814697,0.7868539690971375,359.2212829589844,39.400001525878906,25.5130119,65.0677892
1696508835653427700,59.182427734375,10,20,2.5227878093719482,4.046000003814697,0.79459148645401,0.7728233933448792,39.400001525878906,25.5130324,65.0677977
1696508836663037700,60.19203759765625,10,20,2.532883882522583,4.046000003814697,0.807695209980011,2.1533167362213135,39.400001525878906,25.5130505,65.0678074
1696508837650220800,61.179220703125,10,20,2.542755603790283,4.025000095367432,0.830968976020813,3.233609676361084,39.400001525878906,25.513065,65.067819
1696508838655762400,62.18476245117188,10,20,2.5528111457824707,4.025000095367432,0.8567358255386353,4.289921760559082,39.400001525878906,25.51308,65.0678315
1696508839200000000,62.729,0,0,3.454878807067871,4.140999794006348,0.8589130640029907,4.760511875152588,40.10000228881836,25.5130866,65.067836
1696508839657070000,63.18607006835938,10,20,3.459449529647827,4.015999794006348,0.8734039068222046,5.832488059997559,40.10000228881836,25.5131006,65.0678421
1696508840650989000,64.17998901367187,10,20,3.469388723373413,4.015999794006348,0.8884313106536865,6.998481750488281,40.10000228881836,25.5131169,65.0678525
1696508841647427000,65.17642700195313,10,20,3.479353189468384,4.015999794006348,0.9098747968673706,7.889051914215088,40.10000228881836,25.5131311,65.0678643
1696508842648516400,66.17751635742188,10,20,3.4893639087677,4.015999794006348,0.9345024824142456,8.384110450744629,40.10000228881836,25.5131415,65.0678772
1696508843659384600,67.18838452148438,10,20,3.4994726181030273,4.035999774932861,0.9563360810279846,9.11776351928711,40.10000228881836,25.5131546,65.0678897
1696508843961000000,67.49,0,0,2.6344590187072754,4.080999851226807,0.959966242313385,9.405187606811523,40.10000228881836,25.5131593,65.0678928
1696508844668324400,68.19732446289062,10,20,2.6415321826934814,3.9749999046325684,0.9766293168067932,9.917213439941406,40.10000228881836,25.5131687,65.0679019
1696508845670342000,69.199341796875,10,20,2.651552438735962,3.9749999046325684,1.0025991201400757,10.584424018859863,40.10000228881836,25.5131823,65.0679154
1696508846669546800,70.19854663085937,10,20,2.6615445613861084,3.9749999046325684,1.0293596982955933,11.592612266540527,40.10000228881836,25.5132004,65.067929
1696508847679207700,71.20820776367188,10,20,2.6716411113739014,3.9749999046325684,1.0591093301773071,12.66098690032959,40.10000228881836,25.5132204,65.0679433
1696508848667485000,72.19648486328126,10,20,2.6815237998962402,3.9749999046325684,1.0887011289596558,13.806818962097168,40.10000228881836,25.5132421,65.0679575
1696508849306000000,72.83499975585937,0,0,2.9067249298095703,4.059000015258789,1.0888698101043701,14.343252182006836,40.10000228881836,25.5132517,65.0679631
1696508849678582500,73.20758251953124,10,20,2.9104506969451904,4.059000015258789,1.1138854026794434,14.811203956604004,40.10000228881836,25.5132624,65.0679712
1696508850672126700,74.20112670898438,10,20,2.92038631439209,4.059000015258789,1.1486331224441528,15.976645469665527,40.10000228881836,25.5132867,65.0679865
1696508851676120300,75.20512036132813,10,20,2.9304261207580566,4.059000015258789,1.1814699172973633,17.18927001953125,40.10000228881836,25.5133127,65.0680016
1696508852661554000,76.19055395507813,10,20,2.9402804374694824,4.035999774932861,1.2086460590362549,18.174226760864258,40.10000228881836,25.513336,65.0680158
1696508853663912200,77.192912109375,10,20,2.9503040313720703,4.035999774932861,1.229952335357666,18.92357635498047,40.10000228881836,25.5133564,65.0680294
1696508854346000000,77.87499975585938,0,0,2.4542236328125,4.070000171661377,1.2236895561218262,19.290760040283203,40.10000228881836,25.5133653,65.0680347
1696508854651980500,78.18098046875,10,20,2.4572834968566895,4.046000003814697,1.2399576902389526,19.950532913208008,40.10000228881836,25.5133783,65.0680401
1696508855648408000,79.17740795898438,10,20,2.467247724533081,4.046000003814697,1.2595688104629517,20.80016326904297,40.10000228881836,25.5134006,65.0680531
1696508856634199800,80.16319970703125,10,20,2.4771056175231934,4.046000003814697,1.2850263118743896,21.5552921295166,40.10000228881836,25.5134236,65.0680672
1696508857652288300,81.18128833007812,10,20,2.4872865676879883,4.046000003814697,1.311877965927124,22.112972259521484,40.10000228881836,25.5134457,65.0680824
1696508858669997000,82.1989970703125,10,20,2.4974637031555176,4.070000171661377,1.3369108438491821,22.33567237854004,40.10000228881836,25.513464,65.0680981
1696508859327000000,82.856,0,0,2.0009217262268066,4.185999870300293,1.3313528299331665,22.452024459838867,40.10000228881836,25.5134713,65.0681041
1696508859635758000,83.16475805664062,10,20,2.004009246826172,4.039999961853027,1.3581069707870483,22.6995849609375,40.10000228881836,25.5134829,65.0681122
1696508860678048000,84.20704809570313,10,20,2.014432191848755,4.064000129699707,1.387664556503296,22.82096290588379,40.10000228881836,25.5135019,65.0681294
1696508861618713600,85.14771362304687,10,20,2.023838758468628,4.039999961853027,1.4145413637161255,22.94346809387207,40.10000228881836,25.5135197,65.0681452
1696508862649786600,86.17878662109375,10,20,2.034149646759033,4.039999961853027,1.4399017095565796,23.03480339050293,40.10000228881836,25.5135381,65.068162
1696508863658552800,87.187552734375,10,20,2.0442371368408203,4.039999961853027,1.4669361114501953,23.275842666625977,40.10000228881836,25.5135587,65.0681789
1696508864132000000,87.661,0,0,2.694898843765259,4.142000198364258,1.4659267663955688,23.381223678588867,40.10000228881836,25.5135657,65.0681842
1696508864675284700,88.20428466796875,10,20,2.700331687927246,4.01800012588501,1.4802991151809692,23.626466751098633,40.10000228881836,25.5135783,65.068193
1696508865662980400,89.19198046875,10,20,2.7102086544036865,4.000999927520752,1.4948886632919312,23.917274475097656,40.10000228881836,25.5135973,65.0682073
1696508866647241200,90.1762412109375,10,20,2.7200512886047363,4.01800012588501,1.5092661380767822,24.10186767578125,40.10000228881836,25.5136154,65.0682217
1696508867662350300,91.19135034179688,10,20,2.7302024364471436,4.01800012588501,1.5181821584701538,24.639925003051758,40.10000228881836,25.5136374,65.0682348
1696508868605582300,92.13458227539063,10,20,2.7396347522735596,4.000999927520752,1.528647780418396,25.134336471557617,40.10000228881836,25.5136588,65.0682474
1696508869592282400,93.12128247070312,10,20,2.7495017051696777,3.9000000953674316,1.5302839279174805,25.643362045288086,40.10000228881836,25.5136793,65.0682588
1696508870635261200,94.16426123046875,10,20,1.9611151218414307,3.9000000953674316,1.5273796319961548,26.01519775390625,40.10000228881836,25.5136981,65.0682703
1696508871614912800,95.14391284179688,10,20,1.9709117412567139,3.9000000953674316,1.5273139476776123,26.121639251708984,40.10000228881836,25.5137133,65.0682822
1696508872654072000,96.18307202148438,10,20,1.981303334236145,3.9000000953674316,1.5264432430267334,26.44588851928711,40.10000228881836,25.5137322,65.068294
1696508873645867500,97.17486743164062,10,20,1.9912211894989014,3.9000000953674316,1.5306458473205566,26.56256675720215,40.10000228881836,25.5137491,65.0683068
1696508874659895300,98.18889526367188,10,20,2.001361608505249,3.9000000953674316,1.5357921123504639,26.770795822143555,40.10000228881836,25.5137678,65.0683197
1696508874699000000,98.228,0,0,1.8910226821899414,3.9089999198913574,1.536734938621521,26.841825485229492,40.10000228881836,25.5137695,65.0683202
1696508875641473300,99.17047338867188,10,20,1.9004473686218262,3.9089999198913574,1.5428107976913452,26.89527130126953,40.10000228881836,25.5137855,65.0683329
1696508876649181400,100.17818139648438,10,20,1.9105244874954224,3.9089999198913574,1.543169617652893,26.881141662597656,40.10000228881836,25.5138004,65.0683455
1696508877661439500,101.190439453125,10,20,1.9206470251083374,3.9089999198913574,1.5435914993286133,26.936004638671875,40.10000228881836,25.5138163,65.0683581
1696508878659094000,102.18809399414063,10,20,1.9306236505508423,3.9089999198913574,1.5336170196533203,26.9154052734375,40.10000228881836,25.5138287,65.0683687
1696508879478000000,103.00700024414063,0,0,1.993597388267517,4.083000183105469,1.5046162605285645,26.916343688964844,40.400001525878906,25.5138341,65.0683733
1696508879637059300,103.16605932617188,10,20,1.9951879978179932,4.059999942779541,1.5113539695739746,26.791919708251953,40.400001525878906,25.5138365,65.0683768
1696508880643204000,104.1722041015625,10,20,2.005249500274658,4.104000091552734,1.5158653259277344,26.92832374572754,40.400001525878906,25.5138538,65.0683896
1696508881672913000,105.20191284179687,10,20,2.0155465602874756,4.104000091552734,1.5160638093948364,26.99648094177246,40.400001525878906,25.5138696,65.068402
1696508882676964000,106.20596411132813,10,20,2.0255870819091797,4.104000091552734,1.5133213996887207,27.152250289916992,40.400001525878906,25.5138855,65.0684133
1696508883668686300,107.19768627929687,10,20,2.0355043411254883,4.104000091552734,1.5088961124420166,27.369979858398438,40.400001525878906,25.5139017,65.068424
1696508884490000000,108.01899975585937,0,0,1.8524304628372192,4.105000019073486,1.4827206134796143,27.476625442504883,40.400001525878906,25.5139089,65.0684287
1696508884638358800,108.16735888671874,10,20,1.8539140224456787,4.105000019073486,1.4910905361175537,27.58371925354004,40.400001525878906,25.5139143,65.0684318
1696508885666589700,109.19558959960938,10,20,1.8641964197158813,4.105000019073486,1.5008141994476318,28.091516494750977,40.400001525878906,25.5139377,65.0684446
1696508886657696300,110.1866962890625,10,20,1.8741074800491333,4.074999809265137,1.508577823638916,28.2935733795166,40.400001525878906,25.5139569,65.0684573
1696508887669386200,111.19838623046876,10,20,1.88422429561615,4.074999809265137,1.5087182521820068,28.90088653564453,40.400001525878906,25.5139797,65.0684679
1696508888660987000,112.18998681640625,10,20,1.894140362739563,4.074999809265137,1.51067316532135,29.552812576293945,40.400001525878906,25.5140034,65.0684783
1696508889649590500,113.17859057617187,10,20,1.9040263891220093,3.9000000953674316,1.5116289854049683,29.863826751708984,40.400001525878906,25.5140232,65.0684893
1696508889655000000,113.184,0,0,2.184813976287842,3.9010000228881836,1.511978030204773,29.969762802124023,40.5,25.5140246,65.0684892
1696508890649888500,114.17888842773438,10,20,2.194762945175171,3.9010000228881836,1.5077345371246338,29.98708152770996,40.5,25.5140401,65.0685001
1696508891655374000,115.1843740234375,10,20,2.204817771911621,3.9010000228881836,1.4936504364013672,29.98187828063965,40.5,25.5140528,65.0685094
